"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"667","2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High"
"668","4-High","4-High","2-Low","2-Low","2-Low","1-Very Low","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","2-Low","3-Medium","4-High"
"669","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","5-Very High","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"670","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","4-High","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"671","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium"
"672","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"673","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High"
"674","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"675","3-Medium","4-High","5-Very High","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","5-Very High","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"676","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"677","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low"
"678","4-High","4-High","4-High","4-High","4-High","2-Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High"
"679","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium"
"680","4-High","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"681","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"682","4-High","4-High","3-Medium","4-High","5-Very High","2-Low","1-Very Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","5-Very High","2-Low","2-Low","5-Very High","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High"
"683","2-Low","4-High","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"684","3-Medium","4-High","4-High","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","5-Very High","3-Medium","4-High","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","4-High","2-Low","3-Medium","4-High","2-Low","4-High","5-Very High","2-Low","3-Medium","4-High"
"685","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","4-High","5-Very High","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low"
"686","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low"
"687","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","4-High"
"688","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low"
"689","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"690","3-Medium","4-High","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium"
"691","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"692","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","5-Very High","4-High","3-Medium","3-Medium","2-Low","2-Low","5-Very High","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low"
"693","3-Medium","2-Low","5-Very High","2-Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","5-Very High","4-High","2-Low","3-Medium","1-Very Low","4-High","5-Very High","3-Medium","2-Low","4-High","2-Low","2-Low","4-High","2-Low"
"694","2-Low","5-Very High","1-Very Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","4-High","3-Medium","4-High","4-High","5-Very High","4-High","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","4-High"
"695","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","4-High","2-Low","4-High","3-Medium","5-Very High","1-Very Low","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium"
"696","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","5-Very High","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"697","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","4-High","1-Very Low","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","4-High","3-Medium"
"698","4-High","4-High","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"699","3-Medium","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","5-Very High","4-High","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium"
"700","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","5-Very High","2-Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"701","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"702","2-Low","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","4-High","4-High","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium"
"703","4-High","2-Low","2-Low","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","5-Very High","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High"
"704","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium"
"705","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","5-Very High","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium"
"706","4-High","4-High","2-Low","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","4-High","5-Very High","1-Very Low","4-High","5-Very High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","2-Low","2-Low"
"707","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"708","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High"
"709","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","4-High","2-Low","3-Medium","4-High"
"710","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","3-Medium"
"711","4-High","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","4-High","3-Medium","4-High","1-Very Low","5-Very High","4-High","2-Low","4-High","2-Low","4-High","3-Medium","2-Low","4-High","5-Very High"
"712","4-High","1-Very Low","5-Very High","3-Medium","1-Very Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","2-Low","4-High","4-High","3-Medium","2-Low","3-Medium"
"713","5-Very High","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","3-Medium"
"714","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium"
"715","3-Medium","3-Medium","2-Low","5-Very High","2-Low","1-Very Low","2-Low","2-Low","5-Very High","4-High","2-Low","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High"
"716","2-Low","2-Low","5-Very High","4-High","2-Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"717","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High"
"718","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"719","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","4-High","4-High","5-Very High","4-High","2-Low","3-Medium","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium"
"720","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","4-High","4-High","3-Medium","3-Medium"
"721","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High"
"722","2-Low","2-Low","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"723","4-High","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium"
"724","4-High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"725","3-Medium","2-Low","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"726","4-High","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"727","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"728","1-Very Low","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","5-Very High","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"729","4-High","4-High","2-Low","4-High","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High"
"730","2-Low","2-Low","4-High","1-Very Low","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium"
"731","2-Low","4-High","5-Very High","2-Low","2-Low","1-Very Low","1-Very Low","1-Very Low","5-Very High","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"732","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","2-Low","2-Low"
"733","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"734","2-Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","5-Very High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","4-High","3-Medium","4-High"
"735","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium"
"736","3-Medium","3-Medium","5-Very High","3-Medium","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium"
"737","2-Low","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"738","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","5-Very High","1-Very Low","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"739","3-Medium","4-High","1-Very Low","3-Medium","2-Low","4-High","2-Low","1-Very Low","4-High","3-Medium","4-High","4-High","4-High","2-Low","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium"
"740","5-Very High","4-High","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","5-Very High","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium"
"741","3-Medium","2-Low","4-High","3-Medium","4-High","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","5-Very High","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","3-Medium","2-Low","4-High"
"742","2-Low","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","5-Very High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","4-High"
"743","3-Medium","4-High","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","5-Very High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","4-High","4-High"
"744","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"745","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","4-High","2-Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","5-Very High"
"746","4-High","3-Medium","2-Low","4-High","4-High","1-Very Low","3-Medium","1-Very Low","4-High","4-High","4-High","4-High","2-Low","2-Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"747","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"748","2-Low","3-Medium","4-High","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","1-Very Low","4-High","5-Very High","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","4-High","1-Very Low"
"749","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"750","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","4-High","2-Low","2-Low","4-High"
"751","4-High","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium"
"752","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","5-Very High","3-Medium","5-Very High","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","2-Low","3-Medium","2-Low"
"753","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium"
